league,team,uri
Liga Portugal,S.L. Benfica,http://www.wikidata.org/entity/Q131499
Liga Portugal,Boavista F.C.,http://www.wikidata.org/entity/Q219703
Liga Portugal,C.F. Estrela da Amadora,http://www.wikidata.org/entity/Q838134
Liga Portugal,Gil Vicente F.C.,http://www.wikidata.org/entity/Q926438
Liga Portugal,F.C. Penafiel,http://www.wikidata.org/entity/Q1387471
Liga Portugal,F.C. Vizela,http://www.wikidata.org/entity/Q1387855
Liga Portugal,FC Porto,http://www.wikidata.org/entity/Q128446
Liga Portugal,Portimonense S.C.,http://www.wikidata.org/entity/Q621120
Liga Portugal,S.C. Beira-Mar,http://www.wikidata.org/entity/Q688300
Liga Portugal,S.C. Farense,http://www.wikidata.org/entity/Q744353
Liga Portugal,Vitória S.C.,http://www.wikidata.org/entity/Q223450
Liga Portugal,F.C. Felgueiras,http://www.wikidata.org/entity/Q1387110
Liga Portugal,Rio Ave F.C.,http://www.wikidata.org/entity/Q622432
Liga Portugal,F.C. Arouca,http://www.wikidata.org/entity/Q1386869
Liga Portugal,Casa Pia A.C.,http://www.wikidata.org/entity/Q1046440
Liga Portugal,Sporting CP,http://www.wikidata.org/entity/Q75729
Liga Portugal,S.C. Braga,http://www.wikidata.org/entity/Q75684
Liga Portugal,G.D. Chaves,http://www.wikidata.org/entity/Q543467
Liga Portugal,G.D. Estoril Praia,http://www.wikidata.org/entity/Q634829
Liga Portugal,AVS Futebol SAD,http://www.wikidata.org/entity/Q120775987
Liga Portugal,Moreirense F.C.,http://www.wikidata.org/entity/Q1346314
Liga Portugal,FC Famalicão,http://www.wikidata.org/entity/Q1387105
Liga Portugal, AVS,https://www.wikidata.org/wiki/Q120775987
Premier League,Liverpool F.C.,http://www.wikidata.org/entity/Q1130849
Premier League,Arsenal F.C.,http://www.wikidata.org/entity/Q9617
Premier League,Fulham F.C.,http://www.wikidata.org/entity/Q18708
Premier League,Newcastle United F.C.,http://www.wikidata.org/entity/Q18716
Premier League,Wolverhampton Wanderers F.C.,http://www.wikidata.org/entity/Q19500
Premier League,Tottenham Hotspur F.C.,http://www.wikidata.org/entity/Q18741
Premier League,Nottingham Forest F.C.,http://www.wikidata.org/entity/Q19490
Premier League,Leicester City F.C.,http://www.wikidata.org/entity/Q19481
Premier League,AFC Bournemouth,http://www.wikidata.org/entity/Q19568
Premier League,Chelsea F.C.,http://www.wikidata.org/entity/Q9616
Premier League,Ipswich Town F.C.,http://www.wikidata.org/entity/Q9653
Premier League,Aston Villa F.C.,http://www.wikidata.org/entity/Q18711
Premier League,Southampton F.C.,http://www.wikidata.org/entity/Q18732
Premier League,Brentford F.C.,http://www.wikidata.org/entity/Q19571
Premier League,Manchester City F.C.,http://www.wikidata.org/entity/Q50602
Premier League,Everton F.C.,http://www.wikidata.org/entity/Q5794
Premier League,Crystal Palace F.C.,http://www.wikidata.org/entity/Q19467
Premier League,Manchester United F.C.,http://www.wikidata.org/entity/Q18656
Premier League,West Ham United F.C.,http://www.wikidata.org/entity/Q18747
Premier League,Brighton & Hove Albion F.C.,http://www.wikidata.org/entity/Q19453
Bundesliga,SC Freiburg,http://www.wikidata.org/entity/Q106394
Bundesliga,1. FC Union Berlin,http://www.wikidata.org/entity/Q141971
Bundesliga,RB Leipzig,http://www.wikidata.org/entity/Q702455
Bundesliga,1. FSV Mainz 05,http://www.wikidata.org/entity/Q105254
Bundesliga,Holstein Kiel,http://www.wikidata.org/entity/Q157828
Bundesliga,VfL Wolfsburg,http://www.wikidata.org/entity/Q101859
Bundesliga,Bayer 04 Leverkusen,http://www.wikidata.org/entity/Q104761
Bundesliga,Borussia Mönchengladbach,http://www.wikidata.org/entity/Q101959
Bundesliga,VfL Bochum,http://www.wikidata.org/entity/Q105861
Bundesliga,Eintracht Frankfurt,http://www.wikidata.org/entity/Q38245
Bundesliga,SV Werder Bremen,http://www.wikidata.org/entity/Q51976
Bundesliga,FC Augsburg,http://www.wikidata.org/entity/Q15755
Bundesliga,TSG 1899 Hoffenheim,http://www.wikidata.org/entity/Q22707
Bundesliga,Borussia Dortmund,http://www.wikidata.org/entity/Q41420
Bundesliga,VfB Stuttgart,http://www.wikidata.org/entity/Q4512
Bundesliga,FC St. Pauli,http://www.wikidata.org/entity/Q6463
Bundesliga,FC Bayern Munich,http://www.wikidata.org/entity/Q15789
Bundesliga,1. FC Heidenheim 1846,http://www.wikidata.org/entity/Q162251
La Liga,Real Madrid CF,http://www.wikidata.org/entity/Q8682
La Liga,Getafe CF,http://www.wikidata.org/entity/Q8806
La Liga,AD Almería,http://www.wikidata.org/entity/Q290781
La Liga,Deportivo Alavés,http://www.wikidata.org/entity/Q223620
La Liga,CD Leganés,http://www.wikidata.org/entity/Q856119
La Liga,RCD Espanyol de Barcelona,http://www.wikidata.org/entity/Q8780
La Liga,Athletic Club,http://www.wikidata.org/entity/Q8687
La Liga,Granada CF,http://www.wikidata.org/entity/Q8812
La Liga,Villarreal CF,http://www.wikidata.org/entity/Q12297
La Liga,Atlético de Madrid,http://www.wikidata.org/entity/Q8701
La Liga,RC Celta de Vigo,http://www.wikidata.org/entity/Q8749
La Liga,RCD Mallorca,http://www.wikidata.org/entity/Q8835
La Liga,Unión Deportiva Las Palmas,http://www.wikidata.org/entity/Q11979
La Liga,Rayo Vallecano,http://www.wikidata.org/entity/Q10300
La Liga,Cádiz Club de Fútbol,http://www.wikidata.org/entity/Q460448
La Liga,Club Atlético Osasuna,http://www.wikidata.org/entity/Q10286
La Liga,Valencia CF,http://www.wikidata.org/entity/Q10333
La Liga,Real Betis Balompié,http://www.wikidata.org/entity/Q8723
La Liga,Real Sociedad,http://www.wikidata.org/entity/Q10315
La Liga,Sevilla FC,http://www.wikidata.org/entity/Q10329
La Liga,Unión Deportiva Almería,http://www.wikidata.org/entity/Q10407
La Liga,Girona FC,http://www.wikidata.org/entity/Q11945
Serie A,Atalanta BC,http://www.wikidata.org/entity/Q1886
Serie A,Bologna F.C. 1909,http://www.wikidata.org/entity/Q1893
Serie A,Venezia F.C.,http://www.wikidata.org/entity/Q501245
Serie A,Hellas Verona FC,http://www.wikidata.org/entity/Q8639
Serie A,Internazionale F.C. Torino,http://www.wikidata.org/entity/Q1538737
Serie A,Fortitudo-Pro Roma S.G.S.,http://www.wikidata.org/entity/Q665690
Serie A,U.S. Salernitana 1919,http://www.wikidata.org/entity/Q847587
Serie A,Juventus FC,http://www.wikidata.org/entity/Q1422
Serie A,Como 1907,http://www.wikidata.org/entity/Q1120838
Serie A,U.S. Fiumana,http://www.wikidata.org/entity/Q1328077
Serie A,AC Monza,http://www.wikidata.org/entity/Q289482
Serie A,ACF Fiorentina,http://www.wikidata.org/entity/Q2052
Serie A,U.S. Internazionale Napoli,http://www.wikidata.org/entity/Q728986
Serie A,Società Ginnastica di Torino,http://www.wikidata.org/entity/Q116949682
Serie A,AC Milan,http://www.wikidata.org/entity/Q1543
Serie A,Inter Milan,http://www.wikidata.org/entity/Q631
Serie A,SS Lazio,http://www.wikidata.org/entity/Q2609
Serie A,Parma Calcio 1913,http://www.wikidata.org/entity/Q2693
Serie A,Udinese Calcio,http://www.wikidata.org/entity/Q2798
Serie A,Empoli FC,http://www.wikidata.org/entity/Q6703
Serie A,US Lecce,http://www.wikidata.org/entity/Q13391
Serie A,FC Torinese,http://www.wikidata.org/entity/Q534448
Serie A,Alba Roma 1907,http://www.wikidata.org/entity/Q610482
Serie A,Genoa CFC,http://www.wikidata.org/entity/Q2074
Serie A,SSC Napoli,http://www.wikidata.org/entity/Q2641
Serie A,Cagliari Calcio,http://www.wikidata.org/entity/Q1900
Serie A,A.S. Roma,http://www.wikidata.org/entity/Q2739
Serie A,Torino FC,http://www.wikidata.org/entity/Q2768
